Legislator,Party,"Vote on Energy Independence and Security Act of 2007 On Passage - Senate - H.R. 6, As Amended, 06/22/2007",Contribution Amount,Contributor Employer,Contributor Interest Group,Interest Group Position on Energy Independence and Security Act of 2007
John Cornyn,Republican,No,$2000,Dallas Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$400,Ameritex Minerals,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1800,Dallas Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$200,Ameritex Minerals,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Ameritex Minerals,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,Ameritex Minerals,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$2300,Ameritex Minerals,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$1800,Dallas Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2500,Ameritex Minerals,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$1200,Moncrief Oil International,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2500,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2000,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$200,Beecherl Companies,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$400,Beecherl Companies,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,Beecherl Companies,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,Beecherl Companies,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$200,Beecherl Companies,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$400,Beecherl Companies,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Upham Oil & Gas,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Upham Oil & Gas,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Upham Oil & Gas,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Upham Oil & Gas,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$200,Quintana Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,Quintana Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Plains Exploration & Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Plains Exploration & Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$4600,Plains Exploration & Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$4600,Plains Exploration & Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$2300,Plains Exploration & Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$2300,Plains Exploration & Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$9200,Plains Exploration & Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$250,Walsh & Watts,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$250,Noble Corp,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$250,Summit Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$200,Independent Oil & Gas Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,Independent Oil & Gas Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Independent Oil & Gas Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1400,Bevo Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$1400,Bevo Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1600,Bevo Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$4000,Bevo Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$1700,Bevo Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1700,Bevo Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$250,Walsh & Watts,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1800,Independent Oil & Gas Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Philcon Development,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$1900,Independent Oil & Gas Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Discovery Operating,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,Wagner & Brown,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$200,Wagner & Brown,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$400,Wagner & Brown,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,Wagner & Brown,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$200,Wagner & Brown,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,BTA Oil Producers,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Independent Oil Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$400,Wagner & Brown,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$1300,Van Operating Ltd,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Clear Fork Inc,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1400,Van Operating Ltd,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$3000,Clear Fork Inc,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$1400,Van Operating Ltd,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1300,Van Operating Ltd,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$3000,Van Operating Ltd,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$2300,Clear Fork Inc,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Jones Energy Ltd,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Clayton Williams Energy,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$300,Burnett Ranches/Burnett Oil Co,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$400,Burnett Ranches/Burnett Oil Co,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$400,Burnett Ranches/Burnett Oil Co,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$400,Burnett Ranches/Burnett Oil Co,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$400,Burnett Ranches/Burnett Oil Co,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$300,Burnett Ranches/Burnett Oil Co,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$250,Flint Hills Resources,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,Independent Oil Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Rodman Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Rodman Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Oil & Gas Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$400,Clear Fork Inc,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,BRG Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$250,Oil & Gas Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,Independent Oil Operator,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$5000,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Chesapeake Energy,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Chesapeake Energy,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Meeker & Co ,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Welder Exploration,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Anadarko Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,XTO Energy,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,XTO Energy,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2500,Cago Inc,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Cago Inc,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2100,Cago Inc,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$2300,Cago Inc,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Quicksilver Resources,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Goldston Oil,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Independent Oil Operator,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Quicksilver Resources,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Independent Oil Operator,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$2300,Winn Exploration,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Winn Exploration,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$4600,Winn Exploration,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,Hunt Oil,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Dan A Hughes Co,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,Hunt Oil,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$250,Venus Oil,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$250,Venus Oil,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,Hunt Oil,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,Hunt Oil,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$250,Lake Ronel Oil,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Enervest Ltd,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,Upham Oil & Gas,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$800,Lake Ronel Oil,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Lake Ronel Oil,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$800,Lake Ronel Oil,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Roff Resources,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$4600,BTA Oil Producers,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$2300,BTA Oil Producers,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,BTA Oil Producers,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1250,Independent Oil Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1250,Independent Oil Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1500,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$1000,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Lometa Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$2400,Henry Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$5000,Henry Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1800,Henry Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$1800,Henry Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Summit Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Anadarko Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Anadarko Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$600,Scythian Ltd,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$400,Scythian Ltd,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,Scythian Ltd,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$400,Scythian Ltd,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,BTA Oil Producers,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,BTA Oil Producers,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,BTA Oil Producers,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,Van Operating Ltd,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2500,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Great Western Drilling,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1500,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Ward Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$4600,Marlin Oil,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Clayton Williams Energy,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2000,Independent Oilman,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$2300,Marlin Oil,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Philcon Development,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Moncrief Oil International,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Cambridge Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2000,Quicksilver Resources,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Lucas Petroleum Group,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Encore Acquisition,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Oil & Gas Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Alcorn Exploration,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Hilcorp Energy,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Enervest Ltd,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Swift Energy,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$750,Oil & Gas Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Devon Energy,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Eagle Oil & Gas,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Dan A Hughes Co,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Great Western Drilling,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2000,Upham Oil & Gas,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2000,Upham Oil & Gas,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2000,Upham Oil & Gas,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1300,Oil Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2000,Rodman Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Courson Oil & Gas,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Bridwell Oil,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Independent Oilman,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Van Operating Ltd,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$200,Anadarko Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Beecherl Companies,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Clear Fork Inc,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Roff Resources,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Hilcorp Energy,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2000,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2000,Finley Resources,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2500,Beecherl Companies,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$200,Beecherl Companies,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Anadarko Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Oil & Gas Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$5000,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Dallas Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$500,Dallas Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2000,Upham Oil & Gas,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1700,Upham Oil & Gas,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$1700,Upham Oil & Gas,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$300,Great Western Drilling,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Eagle Oil & Gas,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$550,Oil Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$250,Eighty-Eight Oil,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$250,Venus Oil,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$250,Oil Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Lometa Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,Oil & Gas Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,BRG Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$2300,BRG Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$4600,BRG Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$300,Oil & Gas Production,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$500,EXL Petroleum,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Meeker & Co ,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2000,,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Independent Oil Operator,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Clayton Williams Energy,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$2300,Clayton Williams Energy,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$2300,Clayton Williams Energy,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$300,Upham Oil & Gas,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Goldston Oil,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$1000,Independent Oil Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,-$550,Oil Producer,Independent oil & gas producers,Oppose
John Cornyn,Republican,No,$550,Oil Producer,Independent oil & gas producers,Oppose
Larry Craig,Republican,Yes,$1000,,Independent oil & gas producers,Oppose
Larry Craig,Republican,Yes,$1000,Hunt Oil,Independent oil & gas producers,Oppose
Mike Crapo,Republican,Yes,$1000,,Independent oil & gas producers,Oppose
Mike Crapo,Republican,Yes,$2000,,Independent oil & gas producers,Oppose
Mike Crapo,Republican,Yes,$250,Coleman Oil & Gas,Independent oil & gas producers,Oppose
Mike Crapo,Republican,Yes,$500,,Independent oil & gas producers,Oppose
Mike Crapo,Republican,Yes,$500,,Independent oil & gas producers,Oppose
Mike Crapo,Republican,Yes,$1000,,Independent oil & gas producers,Oppose
Mike Crapo,Republican,Yes,$440,Burlington Resources,Independent oil & gas producers,Oppose
Mike Crapo,Republican,Yes,$2000,,Independent oil & gas producers,Oppose
Mike Crapo,Republican,Yes,$1000,,Independent oil & gas producers,Oppose
Chris Dodd,Democrat,Yes,$1000,Oil Operator,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$250,Devon Energy,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$500,Oil Producer,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$250,Kinsey Interests,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$200,Oil Producer,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$500,Petroleum Inc,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$1000,Berexco Inc,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$1000,Berexco Inc,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$1000,Beecherl Companies,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$1000,Hunt Oil,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$1000,Mosbacher Energy,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$500,Forest Oil,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$5000,,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$1000,Ward Petroleum,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$1000,Samson Investment,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$2300,Marlin Oil,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$2300,Moncrief Oil International,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$2300,Burnett Ranches/Burnett Oil Co,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$350,,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$5000,,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$5000,,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$1300,Ward Petroleum,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$1000,Oil & Gas Producer,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$2000,,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$2000,,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$1300,Meeker & Co,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$2300,Clayton Williams Energy,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$1000,Roff Resources,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$1300,Lucas Petroleum Group,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$2300,Berexco Inc,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,-$2300,Berexco Inc,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$4600,Berexco Inc,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$1000,Range Oil,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$200,Petroleum Inc,Independent oil & gas producers,Oppose
Mary Elizabeth Dole,Republican,No,$4600,Murfin Drilling,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2000,Strata Production Co,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1000,,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1000,W&T Offshore,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$250,Lynx Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1000,Dugan Production,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2100,Strata Production Co,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2000,Strata Production Co,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2100,Strata Production Co,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$500,Independent Oil & Gas,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1000,,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$200,Yates Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1000,,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$250,Rim Operating Inc,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$250,Yates Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$900,Dugan Production,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1100,Dugan Production,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1000,Merrion Oil & Gas,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1000,,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2000,,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2000,,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2300,Yates Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2300,Yates Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2300,Abo Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2000,,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$250,Yates Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1000,,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$250,Yates Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$300,Strata Production Co,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1500,Strata Production Co,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$300,Strata Production Co,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$200,Strata Production Co,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,-$1300,Strata Production Co,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1000,,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$500,Mack Energy,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1000,Yates Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2300,Merrion Oil & Gas,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2300,Merrion Oil & Gas,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2000,,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$200,Dugan Production,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1400,Dugan Production,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2300,Yates Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2000,Abo Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2000,Abo Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2300,Abo Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2300,Yates Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1000,Yates Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2300,Yates Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,-$1000,Merrion Oil & Gas,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2300,Anadarko Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2300,Anadarko Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2300,Anadarko Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1000,Anadarko Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1000,Anadarko Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$4000,,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2300,Waco Oil & Gas,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1000,Ultra Petroleum,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$1000,,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,$2000,Beecherl Companies,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,-$2300,Dugan Production,Independent oil & gas producers,Oppose
Pete Domenici,Republican,Yes,-$2300,Merrion Oil & Gas,Independent oil & gas producers,Oppose
